# simDie.py
# HSC cycle rate = 10.0
# HSC Stem rate = 50.0
# days simulate = 2000
# starting cells = starting clones = 10000
# POST Simulation:
# total HSC    = 10102
# total clones = 188
CloneID	Number
108	326
6565	275
2560	245
3365	204
9676	204
7018	201
5664	198
8621	180
2619	168
7792	166
1679	163
7982	161
5851	159
7681	151
1958	145
2262	145
20	144
6425	141
1540	128
238	127
2474	124
3995	123
7135	121
2383	115
6837	115
1657	111
2395	110
4157	104
3542	103
9365	99
3970	95
5298	92
5910	90
644	89
6928	86
8286	84
717	84
9883	82
5877	80
5412	80
5325	77
7438	76
1303	76
6119	73
3809	71
3137	70
7073	69
2732	69
2871	69
4965	67
3434	67
4405	66
5350	66
6412	66
669	61
2408	61
3886	61
6126	60
3200	60
922	60
5777	60
3682	60
3638	58
8000	56
3157	55
6099	55
9490	51
2681	51
4474	50
8927	47
8233	47
2937	46
3401	46
4202	45
347	45
7435	45
552	44
4391	43
5279	43
2446	42
2302	42
6356	42
9972	42
3846	42
4036	42
1471	41
8794	41
4277	39
6079	38
321	38
7228	37
2673	37
9787	37
1223	37
8029	35
4046	34
7617	33
9538	32
1667	31
4591	31
9814	31
3788	30
3171	28
241	28
8224	28
1921	27
4784	27
7908	27
2808	26
9245	26
3968	26
5328	26
7888	26
4612	25
4736	25
9335	24
2416	24
7703	24
6580	24
3224	24
111	24
6604	24
3927	23
3251	23
9436	23
4551	23
6456	22
1444	22
2511	22
1931	21
4034	21
2543	21
7045	20
5876	20
8763	20
174	19
2923	19
3229	19
7853	18
7722	18
568	17
1013	17
345	17
2189	17
6898	17
9628	16
2843	15
4522	15
7137	15
4809	14
7640	14
2532	14
9692	13
7802	13
6448	13
5189	13
6014	12
1569	12
8707	12
7702	11
5223	11
3225	10
2051	9
4538	9
4703	9
9564	9
189	8
9661	8
7458	8
1760	8
9396	7
8987	7
8346	6
3795	6
8783	6
7990	6
5674	6
2267	5
2450	5
9019	4
5757	4
1253	3
5172	3
8373	2
1481	2
3696	1
2989	1
595	1
